movie_id,title,tmdb_id,tmdb_title,overview,release_date,vote_average,vote_count,poster_url,cast
11,Seven (Se7en) (1995),807.0,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the k",1995-09-22,8.381,23232,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow"
12,"Usual Suspects, The (1995)",629.0,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few surviv",1995-07-19,8.168,11472,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro"
13,Mighty Aphrodite (1995),11448.0,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined",1995-09-13,6.728,745,https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,"Woody Allen, Mira Sorvino, Helena Bonham Carter"
14,"Postino, Il (1994)",11010.0,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-09-22,7.919,1222,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta"
15,Mr. Holland's Opus (1995),2054.0,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, H",1995-12-29,6.966,456,https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"Richard Dreyfuss, Glenne Headly, Jay Thomas"
16,French Twist (Gazon maudit) (1995),4482.0,French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",1995-01-18,6.076,328,https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,"Victoria Abril, Josiane Balasko, Alain Chabat"
17,From Dusk Till Dawn (1996),755.0,From Dusk Till Dawn,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious clientele.",1996-01-19,7.044,6528,https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,"George Clooney, Quentin Tarantino, Harvey Keitel"
18,"White Balloon, The (1995)",46785.0,The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,1995-01-02,7.463,122,https://image.tmdb.org/t/p/w500/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee"
19,Antonia's Line (1995),880.0,Antonia's Line,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor ",1995-09-21,6.9,144,https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen"
20,Angels and Insects (1995),8447.0,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple becom",1995-09-10,6.2,57,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit"
21,Muppet Treasure Island (1996),10874.0,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he die",1996-02-16,6.714,466,https://image.tmdb.org/t/p/w500/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg,"Tim Curry, Billy Connolly, Jennifer Saunders"
22,Braveheart (1995),197.0,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",1995-05-24,7.944,11169,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,"Mel Gibson, Catherine McCormack, Sophie Marceau"
23,Taxi Driver (1976),103.0,Taxi Driver,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.",1976-02-09,8.124,13503,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"Robert De Niro, Jodie Foster, Cybill Shepherd"
24,Rumble in the Bronx (1995),33542.0,Rumble in the Bronx,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market.",1995-01-21,6.846,1179,https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,"Jackie Chan, Anita Mui Yim-Fong, Françoise Yip"
25,"Birdcage, The (1996)",11000.0,The Birdcage,A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.,1996-03-03,7.055,1371,https://image.tmdb.org/t/p/w500/4IpC35BoA5aRO0Q1DpFGJ8iKKYq.jpg,"Robin Williams, Gene Hackman, Nathan Lane"
26,"Brothers McMullen, The (1995)",16388.0,The Brothers McMullen,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s.",1995-08-11,6.068,103,https://image.tmdb.org/t/p/w500/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,"Edward Burns, Michael McGlone, Connie Britton"
27,Bad Boys (1995),9737.0,Bad Boys,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, t",1995-04-07,6.83,6989,https://image.tmdb.org/t/p/w500/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,"Will Smith, Martin Lawrence, Téa Leoni"
28,Apollo 13 (1995),568.0,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground ",1995-06-30,7.5,5953,https://image.tmdb.org/t/p/w500/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,"Tom Hanks, Bill Paxton, Kevin Bacon"
29,Batman Forever (1995),414.0,Batman Forever,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As th",1995-06-16,5.457,5616,https://image.tmdb.org/t/p/w500/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,"Val Kilmer, Tommy Lee Jones, Jim Carrey"
30,Belle de jour (1967),649.0,Belle de Jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Bell",1967-05-24,7.314,1022,https://image.tmdb.org/t/p/w500/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,"Catherine Deneuve, Jean Sorel, Michel Piccoli"
31,Crimson Tide (1995),8963.0,Crimson Tide,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. Whe",1995-05-12,7.187,2005,https://image.tmdb.org/t/p/w500/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg,"Denzel Washington, Gene Hackman, Matt Craven"
32,Crumb (1994),26564.0,Crumb,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, ex-wife and ex-girlfriends, as well as",1995-04-28,7.528,281,https://image.tmdb.org/t/p/w500/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg,"Robert Crumb, Aline Kominsky, Charles Crumb"
33,Desperado (1995),8068.0,Desperado,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his arm",1995-08-25,6.936,3164,https://image.tmdb.org/t/p/w500/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg,"Antonio Banderas, Salma Hayek Pinault, Joaquim de Almeida"
34,"Doom Generation, The (1995)",13552.0,The Doom Generation,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",1995-10-20,6.521,315,https://image.tmdb.org/t/p/w500/cRzRj2UBvIH8ryWhu5PNL2PzV7j.jpg,"Rose McGowan, James Duval, Johnathon Schaech"
35,Free Willy 2: The Adventure Home (1995),9073.0,Free Willy 2: The Adventure Home,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,1995-07-19,5.9,643,https://image.tmdb.org/t/p/w500/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg,"Jason James Richter, Michael Madsen, Jayne Atkinson"
36,Mad Love (1995),47608.0,Mad Love,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a ",1995-05-26,5.167,123,https://image.tmdb.org/t/p/w500/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg,"Chris O'Donnell, Drew Barrymore, Matthew Lillard"
37,Nadja (1994),34574.0,Nadja,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted agains",1995-09-01,5.7,60,https://image.tmdb.org/t/p/w500/uwo3iDfPNdZoSNGAgQDXEM7xMu8.jpg,"Elina Löwensohn, Suzy Amis, Galaxy Craze"
38,"Net, The (1995)",1642.0,The Net,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious",1995-07-28,6.044,1535,https://image.tmdb.org/t/p/w500/dtupntUFMD5iXBo8HLfALt2ET4R.jpg,"Sandra Bullock, Jeremy Northam, Dennis Miller"
39,Strange Days (1995),281.0,Strange Days,"In the last days of 1999, ex-cop turned street hustler Lenny Nero receives a disc which contains the memories of the murder of a prostitute. With the help of bodyguard Mace, he starts to investigate and is pulled deeper and deeper in a whirl of murder, blackmail and intrigue.",1995-10-13,7.015,1564,https://image.tmdb.org/t/p/w500/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg,"Ralph Fiennes, Angela Bassett, Juliette Lewis"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090.0,"To Wong Foo, Thanks for Everything! Julie Newmar","Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster",1995-09-08,7.4,802,https://image.tmdb.org/t/p/w500/8bkJiI6N8wDxAtQ49bLUt0qCBII.jpg,"Patrick Swayze, Wesley Snipes, John Leguizamo"
41,Billy Madison (1995),11017.0,Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",1995-02-10,6.191,1819,https://image.tmdb.org/t/p/w500/sOdgtJdFalL9kRKaeJItARLTAEq.jpg,"Adam Sandler, Bradley Whitford, Josh Mostel"
42,Clerks (1994),2292.0,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",1994-10-19,7.371,2778,https://image.tmdb.org/t/p/w500/9IiSgiq4h4siTIS9H3o4nZ3h5L9.jpg,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti"
43,Disclosure (1994),8984.0,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",1994-12-09,6.25,1282,https://image.tmdb.org/t/p/w500/9e8cp3ho2aZrHMFgitysCoJxXwP.jpg,"Michael Douglas, Demi Moore, Donald Sutherland"
44,Dolores Claiborne (1994),,,,,0.0,0,,
45,Eat Drink Man Woman (1994),10451.0,Eat Drink Man Woman,"Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family ch",1994-08-03,7.6,408,https://image.tmdb.org/t/p/w500/olhIWtIBFg6VWK59DEd4lAvgVgz.jpg,"Lung Sihung, Yang Kuei-mei, Jacklyn Wu Chien-Lien"
46,Exotica (1994),20156.0,Exotica,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's f",1994-09-29,6.622,393,https://image.tmdb.org/t/p/w500/3pibvRQK3A1E8cyhX8IQPIAU2J8.jpg,"Bruce Greenwood, Mia Kirshner, Don McKellar"
47,Ed Wood (1994),522.0,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",1994-09-28,7.483,2524,https://image.tmdb.org/t/p/w500/n8SrO3WbyuY2b6KazogqbQF348C.jpg,"Johnny Depp, Martin Landau, Sarah Jessica Parker"
48,Hoop Dreams (1994),14275.0,Hoop Dreams,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA",1994-09-12,7.6,335,https://image.tmdb.org/t/p/w500/gLzHl2XBtVwycl8DxdOXRHPm8G3.jpg,"William Gates, Arthur Agee, Gene Pingatore"
49,I.Q. (1994),11777.0,I.Q.,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,1994-12-24,6.02,497,https://image.tmdb.org/t/p/w500/5we3ZV6yiw13b8zGk4LuacuV8n7.jpg,"Tim Robbins, Meg Ryan, Walter Matthau"
50,Star Wars (1977),11.0,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in,1977-05-25,8.205,22439,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"Mark Hamill, Harrison Ford, Carrie Fisher"
51,Legends of the Fall (1994),4476.0,Legends of the Fall,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic ",1994-12-23,7.391,2866,https://image.tmdb.org/t/p/w500/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,"Brad Pitt, Anthony Hopkins, Aidan Quinn"
52,"Madness of King George, The (1994)",11318.0,The Madness of King George,"Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister",1994-12-28,6.799,259,https://image.tmdb.org/t/p/w500/1dTSY023ZyBbgVSKDRuA6JLGSnZ.jpg,"Nigel Hawthorne, Helen Mirren, Ian Holm"
53,Natural Born Killers (1994),241.0,Natural Born Killers,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,1994-08-26,7.056,3825,https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg,"Woody Harrelson, Juliette Lewis, Robert Downey Jr."
54,Outbreak (1995),6950.0,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",1995-03-10,6.567,2501,https://image.tmdb.org/t/p/w500/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,"Dustin Hoffman, Rene Russo, Morgan Freeman"
55,"Professional, The (1994)",101.0,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon",1994-09-14,8.294,16180,https://image.tmdb.org/t/p/w500/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,"Jean Reno, Natalie Portman, Gary Oldman"
56,Pulp Fiction (1994),680.0,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,8.482,30349,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"John Travolta, Samuel L. Jackson, Uma Thurman"
57,Priest (1994),40156.0,Priest,The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.,1995-03-24,6.2,148,https://image.tmdb.org/t/p/w500/yCZ2eGJb78HzaYthNwVF8R0G6BG.jpg,"Linus Roache, Tom Wilkinson, Robert Carlyle"
58,Quiz Show (1994),11450.0,Quiz Show,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrat",1994-08-25,7.255,994,https://image.tmdb.org/t/p/w500/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,"John Turturro, Rob Morrow, Ralph Fiennes"
59,Three Colors: Red (1994),110.0,Three Colors: Red,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",1994-05-12,7.896,1554,https://image.tmdb.org/t/p/w500/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder"
60,Three Colors: Blue (1993),108.0,Three Colors: Blue,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",1993-09-08,7.6,1905,https://image.tmdb.org/t/p/w500/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,"Juliette Binoche, Benoît Régent, Florence Pernel"
61,Three Colors: White (1994),109.0,Three Colors: White,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him ba",1994-01-26,7.446,1331,https://image.tmdb.org/t/p/w500/fdIet3NSa27gobMbaUml66oCQNT.jpg,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos"
62,Stargate (1994),2164.0,Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",1994-10-28,7.029,3842,https://image.tmdb.org/t/p/w500/4T6Po0XnZlevmhfPh3ZfEs5butR.jpg,"James Spader, Kurt Russell, Jaye Davidson"
63,"Santa Clause, The (1994)",11395.0,The Santa Clause,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",1994-11-11,6.525,2313,https://image.tmdb.org/t/p/w500/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg,"Tim Allen, Judge Reinhold, Wendy Crewson"
64,"Shawshank Redemption, The (1994)",278.0,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -",1994-09-23,8.723,30655,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Tim Robbins, Morgan Freeman, Bob Gunton"
65,What's Eating Gilbert Grape (1993),1587.0,What's Eating Gilbert Grape,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongo",1993-12-17,7.662,4305,https://image.tmdb.org/t/p/w500/8FxWgsfDNosewo7H65oE4QkOb7g.jpg,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis"
66,While You Were Sleeping (1995),2064.0,While You Were Sleeping,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",1995-04-21,7.0,2012,https://image.tmdb.org/t/p/w500/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg,"Sandra Bullock, Bill Pullman, Peter Gallagher"
67,Ace Ventura: Pet Detective (1994),3049.0,Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always ",1994-02-04,6.582,6421,https://image.tmdb.org/t/p/w500/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg,"Jim Carrey, Courteney Cox, Sean Young"
68,"Crow, The (1994)",9495.0,The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven, watched over by a hypnotic crow, returns from the grave to exact revenge.",1994-05-11,7.5,4552,https://image.tmdb.org/t/p/w500/rMMB3v6jYHjsvXRNJYESacoTD7j.jpg,"Brandon Lee, Rochelle Davis, Ernie Hudson"
